http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&sortType%3Ddesc_p_Publication_Year%26queryText%3DHigh+Performance+Computing%2C+Networking%2C+Storage+And+Analysis+.LB.SC.RB.,4/24/17 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
MetaMorph: A Library Framework for Interoperable Kernels on Multi- and Many-Core Clusters,A. E. Helal; V. Tech; P. Sathre; W. c. Feng,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,119,129,"To attain scalable performance efficiently, the HPC community expects future exascale systems to consist of multiple nodes, each with different types of hardware accelerators. In addition to GPUs and Intel MICs, additional candidate accelerators include embedded multiprocessors and FPGAs. End users need appropriate tools to efficiently use the available compute resources in such systems, both within a compute node and across compute nodes. As such, we present MetaMorph, a library framework designed to (automatically) extract as much computational capability as possible from HPC systems. Its design centers around three core principles: abstraction, interoperability, and adaptivity. To demonstrate its efficacy, we present a case study that uses the structured grids design pattern, which is heavily used in computational fluid dynamics. We show how MetaMorph significantly reduces the development time, while delivering performance and interoperability across an array of heterogeneous devices, including multicore CPUs, Intel MICs, AMD GPUs, and NVIDIA GPUs.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.10,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877009,CUDA;GPU;MIC;MPI;OpenCL;OpenMP;accelerator-aware MPI;accelerators;exascale;parallel libraries;performance portability;programmability;structured grids,Acceleration;Hardware;Interoperability;Kernel;Libraries;Microwave integrated circuits;Performance evaluation,field programmable gate arrays;graphics processing units;multiprocessing systems;open systems;parallel processing,FPGA;GPU;HPC systems;Intel MICs;MetaMorph;abstraction;adaptivity;embedded multiprocessors;hardware accelerators;interoperability;interoperable kernels;many-core clusters;multicore clusters,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Organizing Committee,,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,xiii,xiii,Provides a listing of current committee members and society officers.,,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.91,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876998,,,,,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
PIPES: A Language and Compiler for Task-Based Programming on Distributed-Memory Clusters,M. Kong; L. N. Pouchet; P. Sadayappan; V. Sarkar,"Rice Univ., Houston, TX, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,456,467,"Applications running on clusters of shared-memory computers are often implemented using OpenMP+MPI. Productivity can be vastly improved using task-based programming, a paradigm where the user expresses the data and control-flow relations between tasks, offering the runtime maximal freedom to place and schedule tasks. While productivity is increased, high-performance execution remains challenging: the implementation of parallel algorithms typically requires specific task placement and communication strategies to reduce internode communications and exploit data locality. In this work, we present a new macro-dataflow programming environment for distributed-memory clusters, based on the Intel Concurrent Collections (CnC) runtime. Our language extensions let the user define virtual topologies, task mappings, task-centric data placement, task and communication scheduling, etc. We introduce a compiler to automatically generate Intel CnC C++ run-time, with key automatic optimizations including task coarsening and coalescing. We experimentally validate our approach on a variety of scientific computations, demonstrating both productivity and performance.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.38,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877117,Concurrent Collections;Distributed computing;macro-dataflow;polyhedral compilation;task parallelism,C++ languages;Parallel algorithms;Productivity;Programming;Runtime;Tuners,C++ language;concurrency (computers);data flow computing;distributed memory systems;message passing;parallel algorithms;program compilers;scheduling;shared memory systems,Intel CnC C++ run-time;Intel Concurrent Collections runtime;MPI;OpenMP;PIPES;communication scheduling;compiler;control-flow relations;data locality;distributed-memory clusters;internode communications;macrodataflow programming environment;parallel algorithms;shared-memory computers;task coalescing;task coarsening;task communication strategies;task mappings;task placement;task scheduling;task-based programming;task-centric data placement;virtual topologies,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
PFEAST: A High Performance Sparse Eigenvalue Solver Using Distributed-Memory Linear Solvers,J. Kestyn; V. Kalantzis; E. Polizzi; Y. Saad,"Electr. & Comput. Eng. Dept., Univ. of Massachusetts, Amherst, MA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,178,189,"The FEAST algorithm and eigensolver for interior eigenvalue problems naturally possesses three distinct levels of parallelism. The solver is then suited to exploit modern computer architectures containing many interconnected processors. This paper highlights a recent development within the software package that allows the dominant computational task, solving a set of complex linear systems, to be performed with a distributed memory solver. The software, written with a reverse-communication-interface, can now be interfaced with any generic MPI linear-system solver using a customized data distribution for the eigenvector solutions. This work utilizes two common â€œblack-boxâ€ù distributed memory linear-systems solvers (Cluster-MKL-Pardiso and MUMPS), as well as our own application-specific domain-decomposition MPI solver, for a collection of 3-dimensional finite-element systems. We discuss and analyze how parallel resources can be placed at all three levels simultaneously in order to achieve good scalability and optimal use of the computing platform.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.15,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877094,,Convergence;Eigenvalues and eigenfunctions;Linear systems;Parallel processing;Software algorithms;Software packages,application program interfaces;distributed memory systems;eigenvalues and eigenfunctions;finite element analysis;mathematics computing;message passing;multiprocessor interconnection networks;parallel architectures,3- dimensional finite-element systems;MUMPS;PFEAST;application-specific domain-decomposition MPI solver;black-box distributed memory linear-system solvers;cluster-MKL-Pardiso;computer architectures;computing platform;customized data distribution;eigensolver;eigenvector solutions;generic MPI linear-system solver;high performance sparse eigenvalue solver;interconnected proces- sors;interior eigenvalue problems;parallel resources;reverse-communication-interface;software package,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Simulation and Performance Analysis of the ECMWF Tape Library System,M. MÃ_sker; L. Nagel; T. SÃ_ÃŸ; A. Brinkmann; L. Sorth,"Johannes Gutenberg Univ. Mainz, Mainz, Germany","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,252,263,"Improvements in hardware and software have enabled magnetic disks to become an alternative to tape in backup environments. Nevertheless, even considering its slow access times, tape is still part of most hierarchical storage management strategies. The main reasons are cost-effectiveness, long lifetimes, and that tape, continually improved, keeps up with magnetic disks in terms of capacity. The performance of tape libraries, however, has been scarcely analyzed in the literature. In this paper, we present a tape library simulator and analyze workload traces of the European Centre for Medium-Range Weather Forecasts. Optimizing the cartridge management, we show that the load latency can be reduced by a factor of 2.1 and the number of load operations by 2.5, compared to standard library settings. Furthermore, we present eviction and placement strategies, which can additionally lower the load latency by 20%, achieving the same performance level with considerably fewer drives.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.21,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877100,active archive;latency;robotic tape library;tape library simulation;tertiary storage,Drives;Libraries;Load modeling;Patents;Robots;Weather forecasting,back-up procedures;data handling;environmental science computing;libraries;magnetic tapes;optimisation;storage management;weather forecasting,ECMWF tape library system simulation;European centre for medium-range weather forecasts;backup environments;cartridge management optimization;eviction strategy;hierarchical storage management strategies;magnetic disks;performance analysis;placement strategy;tape alternative;tape library simulator,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Efficient Delaunay Tessellation through K-D Tree Decomposition,D. Morozov; T. Peterka,"Lawrence Berkeley Nat. Lab., Berkeley, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,728,738,"Delaunay tessellations are fundamental data structures in computational geometry. They are important in data analysis, where they can represent the geometry of a point set or approximate its density. The algorithms for computing these tessellations at scale perform poorly when the input data is unbalanced. We investigate the use of k-d trees to evenly distribute points among processes and compare two strategies for picking split points between domain regions. Because resulting point distributions no longer satisfy the assumptions of existing parallel Delaunay algorithms, we develop a new parallel algorithm that adapts to its input and prove its correctness. We evaluate the new algorithm using two late-stage cosmology datasets. The new running times are up to 50 times faster using k-d tree compared with regular grid decomposition. Moreover, in the unbalanced data sets, decomposing the domain into a k-d tree is up to five times faster than decomposing it into a regular grid.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.61,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877140,,Algorithm design and analysis;Approximation algorithms;Clustering algorithms;Computational modeling;Octrees;Parallel algorithms;Three-dimensional displays,computational geometry;data analysis;mesh generation;parallel algorithms;tree data structures,Delaunay tessellation;computational geometry;data analysis;data structures;k-d tree decomposition;late-stage cosmology datasets;parallel algorithm;regular grid decomposition;unbalanced data sets,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Evaluating HPC Networks via Simulation of Parallel Workloads,N. Jain; A. Bhatele; S. White; T. Gamblin; L. V. Kale,"Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,154,165,"This paper presents an evaluation and comparison of three topologies that are popular for building interconnection networks in large-scale supercomputers: torus, fat-tree, and dragonfly. To perform this evaluation, we propose a comprehensive methodology and present a scalable packet-level network simulator, TraceR. Our methodology includes design of prototype systems that are being evaluated, use of proxy applications to determine computation and communication load, simulating individual proxy applications and multi-job workloads, and computing aggregated performance metrics. Using the proposed methodology, prototype systems based on torus, fat-tree, and dragonfly networks with up to 730K endpoints (MPI processes) executed on 46K nodes are compared in the context of multi-job workloads from capability and capacity systems. For the 180 Petaflop/s prototype systems simulated in this paper, we show that different topologies are superior in different scenarios, i.e. there is no single best topology, and the characteristics of parallel workloads determine the optimal choice.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.13,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877012,Computer simulation;High performance computing;Multiprocessor interconnection networks;Network topology;Performance evaluation,Computational modeling;Emulation;Network topology;Prototypes;Routing;Switches;Topology,message passing;multiprocessor interconnection networks;parallel processing,HPC network evaluation;MPI process;TraceR;aggregated performance metrics;capability systems;capacity systems;communication load;computation load;dragonfly interconnection;fat-tree interconnection;interconnection networks;large-scale supercomputers;multijob workload simulation;parallel workload simulation;proxy application simulation;proxy applications;scalable packet-level network simulator;torus interconnection,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Measuring and Understanding Throughput of Network Topologies,S. A. Jyothi; A. Singla; P. B. Godfrey; A. Kolla,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,761,772,"High throughput is of particular interest in data center and HPC networks. Although myriad network topologies have been proposed, a broad head-to-head comparison across topologies and across traffic patterns is absent, and the right way to compare worst-case throughput performance is a subtle problem. In this paper, we develop a framework to benchmark the throughput of network topologies, using a two-pronged approach. First, we study performance on a variety of synthetic and experimentally-measured traffic matrices (TMs). Second, we show how to measure worst-case throughput by generating a near-worst-case TM for any given topology. We apply the framework to study the performance of these TMs in a wide range of network topologies, revealing insights into the performance of topologies with scaling, robustness of performance across TMs, and the effect of scattered workload placement. Our evaluation code is freely available.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.64,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877143,,Benchmark testing;Measurement;Network topology;Robustness;Servers;Throughput;Topology,computer centres;parallel processing;telecommunication computing;telecommunication network topology;telecommunication traffic,HPC networks;TM;data center;network topologies;traffic matrices;two-pronged approach;worst-case throughput,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Accelerating Lattice QCD Multigrid on GPUs Using Fine-Grained Parallelization,M. A. Clark; B. JoÃ_; A. Strelchenko; M. Cheng; A. Gambhir; R. C. Brower,"NVIDIA Corp., Santa Clara, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,795,806,"The past decade has witnessed a dramatic acceleration of lattice quantum chromodynamics calculations in nuclear and particle physics. This has been due to both significant progress in accelerating the iterative linear solvers using multigrid algorithms, and due to the throughput improvements brought by GPUs. Deploying hierarchical algorithms optimally on GPUs is non-trivial owing to the lack of parallelism on the coarse grids, and as such, these advances have not proved multiplicative. Using the QUDA library, we demonstrate that by exposing all sources of parallelism that the underlying stencil problem possesses, and through appropriate mapping of this parallelism to the GPU architecture, we can achieve high efficiency even for the coarsest of grids. Results are presented for the Wilson-Clover discretization, where we demonstrate up to 10x speedup over present state-of-the-art GPU-accelerated methods on Titan. Finally, we look to the future, and consider the software implications of our findings.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.67,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877146,,Acceleration;Color;Electronic mail;Lattices;Parallel processing;Throughput,graphics processing units;iterative methods;lattice theory;parallel processing;quantum chromodynamics;quantum computing,GPU architecture;QUDA library;Titan;Wilson-Clover discretization;coarse grids;fine-grained parallelization;hierarchical algorithms;iterative linear solvers;lattice QCD multigrid;lattice quantum chromodynamics calculations;multigrid algorithms;nuclear physics;particle physics;stencil problem,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Reliable and Efficient Performance Monitoring in Linux,M. Dimakopoulou; S. Eranian; N. Koziris; N. Bambos,"Stanford Univ., Stanford, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,396,408,"Processor hardware performance counters have recently improved in quality and features, while performance monitoring support in Linux has been significantly revamped with the development of the perf_events subsystem, which contributed in making performance analysis an increasingly common practice among developers. However, no performance analysis is possible without an efficient monitoring interface and reliable hardware counter data. In this paper, we first address a reliability issue in the Performance Monitoring Unit of recent Intel processors with Hyper-Threading enabled. A published erratum causes cross hyper-thread hardware counter corruption and may produce unreliable results. We propose a cache-coherence style protocol which we implement in the Linux kernel to address the issue by introducing cross hyper-thread dynamic event scheduling. Second, we improve event scheduling efficiency by introducing an algorithm which optimally schedules events onto hardware counters consistently. The proposed optimizations do not require any user level changes. They leverage the internal design of the perf_events subsystem and have broader applicability in processors. The improvements have been contributed to the upstream Linux kernel 4.1.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.33,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877112,,Hardware;Kernel;Linux;Phasor measurement units;Processor scheduling;Program processors;Radiation detectors,Linux;cache storage;microprocessor chips;multi-threading;operating system kernels;performance evaluation;reliability;scheduling,Intel processor;Linux kernel;Performance Monitoring Unit;cache-coherence style protocol;cross hyper-thread dynamic event scheduling;efficient performance monitoring;event scheduling efficiency;hyper-thread hardware counter corruption;hyper-threading;monitoring interface;optimal event scheduling;perf_events subsystem;performance analysis;processor hardware performance counter;reliability issue,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Translating OpenMP Device Constructs to OpenCL Using Unnecessary Data Transfer Elimination,J. Kim; Y. J. Lee; J. Park; J. Lee,"Dept. of Comput. Sci. & Eng., Seoul Nat. Univ., Seoul, South Korea","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,597,608,"In this paper, we propose a framework that translates OpenMP 4.0 accelerator directives to OpenCL. By translating an OpenMP program to an OpenCL program, the program can be executed on any hardware platform that supports OpenCL. We also propose a run-time optimization technique that automatically eliminates unnecessary data transfers between the host and the target accelerator. It exploits the page-fault mechanism to detect if a copy of the memory object already resides in the accelerator and the copy has not been modified by the host. To evaluate the framework, we develop 17 OpenMP 4.0 benchmark applications in two versions: basic and hand-tuned. By evaluating them on three different GPUs with the original OpenCL and OpenMP programs, we show the effectiveness of the framework. To show the practicality of the framework, we compare the performance of generated OpenCL programs with that of equivalent OpenACC programs compiled by the commercial PGI compiler.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.50,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877129,,Data transfer;Graphics processing units;Optimization;Performance evaluation;Programming;Runtime,application program interfaces;data handling;program compilers;program interpreters,GPU;OpenCL program;OpenMP 4.0 accelerator directives;OpenMP device;OpenMP program;PGI compiler;data transfer elimination;graphics processing unit;hardware platform;page-fault mechanism;program translation;run-time optimization,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
An Exploration of Optimization Algorithms for High Performance Tensor Completion,S. Smith; J. Park; G. Karypis,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,359,371,"Tensor completion is a powerful tool used to estimate or recover missing values in multi-way data. It has seen great success in domains such as product recommendation and healthcare. Tensor completion is most often accomplished via low-rank sparse tensor factorization, a computationally expensive non-convex optimization problem which has only recently been studied in the context of parallel computing. In this work, we study three optimization algorithms that have been successfully applied to tensor completion: alternating least squares (ALS), stochastic gradient descent (SGD), and coordinate descent (CCD++). We explore opportunities for parallelism on shared- and distributed-memory systems and address challenges such as memory- and operation-efficiency, load balance, cache locality, and communication. Among our advancements are an SGD algorithm which combines stratification with asynchronous communication, an ALS algorithm rich in level-3 BLAS routines, and a communication-efficient CCD++ algorithm. We evaluate our optimizations on a variety of real datasets using a modern supercomputer and demonstrate speedups through 1024 cores. These improvements effectively reduce time-to-solution from hours to seconds on real-world datasets. We show that after our optimizations, ALS is advantageous on parallel systems of small-to-moderate scale, while both ALS and CCD++ will provide the lowest time-to-solution on large-scale distributed systems.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.30,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877109,,Complexity theory;Distributed databases;Mathematical model;Optimization;Parallel processing;Prediction algorithms;Tensile stress,cache storage;least squares approximations;matrix decomposition;optimisation;parallel processing;resource allocation;stochastic processes;storage management;tensors,ALS;CCD++;SGD;alternating least squares;cache locality;coordinate descent;distributed memory systems;high performance tensor completion;load balance;optimization algorithms;parallel computing;shared memory systems;sparse tensor factorization;stochastic gradient descent,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Block Iterative Methods and Recycling for Improved Scalability of Linear Solvers,P. Jolivet; P. H. Tournier,"IRIT, ENSEEIHT, France","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,190,203,"Contemporary large-scale Partial Differential Equation (PDE) simulations usually require the solution of large and sparse linear systems. Moreover, it is often needed to solve these linear systems with different or multiple Right-Hand Sides (RHSs). In this paper, various strategies will be presented to extend the scalability of existing multigrid or domain decomposition linear solvers using appropriate recycling strategies or block methods-i.e., by treating multiple right-hand sides simultaneously. The scalability of this work is assessed by performing simulations on up to 8,192 cores for solving linear systems arising from various physical phenomena modeled by Poisson's equation, the system of linear elasticity, or Maxwell's equation. This work is shipped as part of on open-source software, readily available and usable in any C/C++, Python, or Fortran code. In particular, some simulations are performed on top of a well-established library, PETSc, and it is shown how our approaches can be used to decrease time to solution down by 30%.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.16,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877095,Iterative methods;Maxwell's equation;distributed algorithms,Context;Eigenvalues and eigenfunctions;Iterative methods;Libraries;Linear systems;Mathematical model;Recycling,C++ language;Maxwell equations;Poisson equation;distributed algorithms;iterative methods;public domain software,C language;C++ language;Fortran code;Maxwell equation;PDE;Poisson equation;Python language;RHS;block iterative methods;distributed algorithms;improved scalability recycling;linear elasticity system;linear solvers;open source software;partial differential equation;right-hand sides;sparse linear systems,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
An Ephemeral Burst-Buffer File System for Scientific Applications,T. Wang; K. Mohror; A. Moody; K. Sato; W. Yu,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,807,818,"Burst buffers are becoming an indispensable hardware resource on large-scale supercomputers to buffer the bursty I/O from scientific applications. However, there is a lack of software support for burst buffers to be efficiently shared by applications within a batch-submitted job and recycled across different batch jobs. In addition, burst buffers need to cope with a variety of challenging I/O patterns from data-intensive scientific applications. In this study, we have designed an ephemeral Burst Buffer File System (BurstFS) that supports scalable and efficient aggregation of I/O bandwidth from burst buffers while having the same life cycle as a batch-submitted job. BurstFS features several techniques including scalable metadata indexing, co-located I/O delegation, and server-side read clustering and pipelining. Through extensive tuning and analysis, we have validated that BurstFS has accomplished our design objectives, with linear scalability in terms of aggregated I/O bandwidth for parallel writes and reads.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.68,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877147,,Bandwidth;Buffer storage;Distributed databases;File systems;Indexing;Metadata;Pipeline processing,buffer storage;indexing;meta data;parallel processing;pattern clustering,BurstFS;I/O bandwidth aggregation;I/O burst buffers;batch-submitted job;co-located I/O delegation;data-intensive scientific applications;ephemeral burst-buffer file system;hardware resource;large-scale high-performance computing;large-scale supercomputers;metadata indexing scalability;parallel reads;parallel writes;pipelining;server-side read clustering,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Evaluating and Optimizing OpenCL Kernels for High Performance Computing with FPGAs,H. R. Zohouri; N. Maruyamay; A. Smith; M. Matsuda; S. Matsuoka,"Tokyo Inst. of Technol., Tokyo, Japan","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,409,420,"We evaluate the power and performance of the Rodinia benchmark suite using the Altera SDK for OpenCL targeting a Stratix V FPGA against a modern CPU and GPU. We study multiple OpenCL kernels per benchmark, ranging from direct ports of the original GPU implementations to loop-pipelined kernels specifically optimized for FPGAs. Based on our results, we find that even though OpenCL is functionally portable across devices, direct ports of GPU-optimized code do not perform well compared to kernels optimized with FPGA-specific techniques such as sliding windows. However, by exploiting FPGA-specific optimizations, it is possible to achieve up to 3.4x better power efficiency using an Altera Stratix V FPGA in comparison to an NVIDIA K20c GPU, and better run time and power efficiency in comparison to CPU. We also present preliminary results for Arria 10, which, due to hardened FPUs, exhibits noticeably better performance compared to Stratix V in floating-point-intensive benchmarks.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.34,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877113,FPGA;Heterogeneous computing;OpenCL;Performance evaluation,Benchmark testing;Field programmable gate arrays;Graphics processing units;Kernel;Optimization;Performance evaluation;Programming,field programmable gate arrays;floating point arithmetic;graphics processing units;hardware-software codesign;microprocessor chips;operating system kernels;optimisation;parallel processing,Altera SDK;Arria 10;CPU;FPGA-specific optimizations;GPU implementations;GPU-optimized code;NVIDIA K20c GPU;OpenCL kernel optimization;Rodinia benchmark suite;Stratix V FPGA;floating-point-intensive benchmarks;high performance computing;loop-pipelined kernel optimization;power efficiency;sliding windows,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
dCUDA: Hardware Supported Overlap of Computation and Communication,T. Gysi; J. BÃ_r; T. Hoefler,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,609,620,"Over the last decade, CUDA and the underlying GPU hardware architecture have continuously gained popularity in various high-performance computing application domains such as climate modeling, computational chemistry, or machine learning. Despite this popularity, we lack a single coherent programming model for GPU clusters. We therefore introduce the dCUDA programming model, which implements device-side remote memory access with target notification. To hide instruction pipeline latencies, CUDA programs over-decompose the problem and over-subscribe the device by running many more threads than there are hardware execution units. Whenever a thread stalls, the hardware scheduler immediately proceeds with the execution of another thread ready for execution. This latency hiding technique is key to make best use of the available hardware resources. With dCUDA, we apply latency hiding at cluster scale to automatically overlap computation and communication. Our benchmarks demonstrate perfect overlap for memory bandwidth-bound tasks and good overlap for compute-bound tasks.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.51,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877130,Distributed memory;gpu;latency hiding;programming model;remote memory access,Computational modeling;Graphics processing units;Hardware;Instruction sets;Kernel;Programming,multi-threading;parallel architectures;storage management,GPU clusters;GPU hardware architecture;communication;computation;compute-bound tasks;dCUDA programming model;device-side remote memory access;hardware resources;hardware scheduler;hardware supported overlap;high-performance computing;instruction pipeline latencies;latency hiding;memory bandwidth-bound tasks;threads,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Enterprise: breadth-first graph traversal on GPUs,H. Liu; H. H. Huang,,"SC '15: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170126,2015,,,1,12,"The Breadth-First Search (BFS) algorithm serves as the foundation for many graph-processing applications and analytics workloads. While Graphics Processing Unit (GPU) offers massive parallelism, achieving high-performance BFS on GPUs entails efficient scheduling of a large number of GPU threads and effective utilization of GPU memory hierarchy. In this paper, we present Enterprise, a new GPU-based BFS system that combines three techniques to remove potential performance bottlenecks: (1) streamlined GPU threads scheduling through constructing a frontier queue without contention from concurrent threads, yet containing no duplicated frontiers and optimized for both top-down and bottom-up BFS. (2) GPU workload balancing that classifies the frontiers based on different out-degrees to utilize the full spectrum of GPU parallel granularity, which significantly increases thread-level parallelism; and (3) GPU based BFS direction optimization quantifies the effect of hub vertices on direction-switching and selectively caches a small set of critical hub vertices in the limited GPU shared memory to reduce expensive random data accesses. We have evaluated Enterprise on a large variety of graphs with different GPU devices. Enterprise achieves up to 76 billion traversed edges per second (TEPS) on a single NVIDIA Kepler K40, and up to 122 billion TEPS on two GPUs that ranks No. 45 in the Graph 500 on November 2014. Enterprise is also very energy-efficient as No. 1 in the GreenGraph 500 (small data category), delivering 446 million TEPS per watt.",,Electronic:978-1-4503-3723-6; POD:978-1-5090-0273-3,10.1145/2807591.2807594,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7832842,,Arrays;Graphics processing units;Hardware;Instruction sets;Optimization;Parallel processing;Switches,graph theory;graphics processing units;parallel processing;performance evaluation;queueing theory;search problems;shared memory systems,BFS;Enterprise;GPU memory hierarchy;GPU parallel granularity;GPU shared memory;GPU threads;GPU workload balancing;Graph 500;GreenGraph 500;NVIDIA Kepler K40;TEPS;analytics workloads;breadth-first graph traversal;breadth-first search algorithm;concurrent threads;direction-switching;frontier queue;graph-processing applications;graphics processing unit;hub vertices;performance bottlenecks;thread-level parallelism;traversed edges per second,,2,,,,,15-20 Nov. 2015,,IEEE,IEEE Conference Publications
